"pattern"	"G527_1_P1A11_feces_S1"	"G527_10_P1A26_feces_S10"	"G527_11_P1A28_feces_S11"	"G527_12_P1A29_feces_S12"	"G527_13_P1A4_feces_S13"	"G527_14_P1A7_feces_S14"	"G527_15_P1A8_feces_S15"	"G527_16_P1A9_feces_S16"	"G527_17_P1A11_rumen_S17"	"G527_18_P1A13_rumen_S18"	"G527_19_P1A14_rumen_S19"	"G527_2_P1A13_feces_S2"	"G527_20_P1A19_rumen_S20"	"G527_21_P1A2_rumen_S21"	"G527_22_P1A20_rumen_S22"	"G527_23_P1A218_rumen_S23"	"G527_24_P1A22_rumen_S24"	"G527_25_P1A24_rumen_S25"	"G527_26_P1A25_rumen_S26"	"G527_27_P1A26_rumen_S27"	"G527_28_P1A29_rumen_S28"	"G527_29_P1A4_rumen_S29"	"G527_3_P1A14_feces_S3"	"G527_30_P1A7_rumen_S30"	"G527_31_P1A8_rumen_S31"	"G527_32_P1A9_rumen_S32"	"G527_33_P1A11_SNP_S33"	"G527_34_P1A13_SNP_S34"	"G527_35_P1A14_SNP_S35"	"G527_36_P1A19_SNP_S36"	"G527_37_P1A2_SNP_S37"	"G527_38_P1A20_SNP_S38"	"G527_39_P1A22_SNP_S39"	"G527_4_P1A19_feces_S4"	"G527_40_P1A24_SNP_S40"	"G527_41_P1A25_SNP_S41"	"G527_42_P1A26_SNP_S42"	"G527_43_P1A28_SNP_S43"	"G527_44_P1A29_SNP_S44"	"G527_45_P1A4_SNP_S45"	"G527_46_P1A7_SNP_S46"	"G527_47_P1A8_SNP_S47"	"G527_48_P1A9_SNP_S48"	"G527_49_2019_DNA_S49"	"G527_5_P1A2_feces_S5"	"G527_50_P2A1_feces_S50"	"G527_51_P2A10_feces_S51"	"G527_52_P2A14_feces_S52"	"G527_53_P2A16_feces_S53"	"G527_54_P2A18_feces_S54"	"G527_55_P2A19_feces_S55"	"G527_56_P2A20_feces_S56"	"G527_57_P2A21_feces_S57"	"G527_58_P2A22_feces_S58"	"G527_59_P2A26_feces_S59"	"G527_6_P1A20_feces_S6"	"G527_60_P2A27_feces_S60"	"G527_61_P2A28_feces_S61"	"G527_62_P2A29_feces_S62"	"G527_63_P2A7_feces_S63"	"G527_64_P2A9_feces_S64"	"G527_65_P2A1_rumen_S65"	"G527_66_P2A10_rumen_S66"	"G527_67_P2A14_rumen_S67"	"G527_68_P2A16_rumen_S68"	"G527_69_P2A18_rumen_S69"	"G527_7_P1A22_feces_S7"	"G527_70_P2A19_rumen_S70"	"G527_71_P2A20_rumen_S71"	"G527_72_P2A21_rumen_S72"	"G527_73_P2A22_rumen_S73"	"G527_74_P2A26_rumen_S74"	"G527_75_P2A27_rumen_S75"	"G527_76_P2A28_rumen_S76"	"G527_77_P2A29_rumen_S77"	"G527_78_P2A1_SNP_S78"	"G527_79_P2A10_SNP_S79"	"G527_8_P1A24_feces_S8"	"G527_80_P2A14_SNP_S80"	"G527_81_P2A16_SNP_S81"	"G527_82_P2A18_SNP_S82"	"G527_83_P2A19_SNP_S83"	"G527_84_P2A20_SNP_S84"	"G527_85_P2A21_SNP_S85"	"G527_86_P2A22_SNP_S86"	"G527_87_P2A26_SNP_S87"	"G527_88_P2A27_SNP_S88"	"G527_89_P2A28_SNP_S89"	"G527_9_P1A25_feces_S9"	"G527_90_P2A29_SNP_S90"	"G527_91_P2A7_SNP_S91"	"G527_92_P2A9_SNP_S92"	"G527_93_NoTemplate-DNAextraction1_S93"	"G527_94_NoTemplate-DNAextraction2_S94"	"G527_95_MockCommunity_S95"	"G527_96_NoTemplate-LibraryPrep_S96"
"Biocides|Acid_resistance|Acid_resistance_protein|YDEP"	3146	0	833	814	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	9	1	1	15	9	3	14	4	2	0	1	4	7	2	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	14	1	589	0
"Biocides|Acid_resistance|Acid_resistance_regulator|EVGA"	972	0	337	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	3	0	1	9	5	0	8	5	2	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	182	0
"Biocides|Acid_resistance|Acid_resistance_regulator|GADE"	995	0	629	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	2	4	4	0	16	15	1	13	2	4	0	1	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	158	0
"Biocides|Biguanide_resistance|Biguanide_cation_efflux|CEPAB"	373	0	163	111	0	0	0	0	2	1	0	0	0	3	0	4	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	5	0	2	0	0	7	1	0	4	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	251	0
"Biocides|Multi-biocide_resistance|Multi-biocide_ABC_efflux_pump|SMDA"	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	2	0	2	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Biocides|Multi-biocide_resistance|Multi-biocide_ABC_efflux_pump|SMDB"	314	0	6	122	2	2	1	1	7	5	2	0	0	3	2	4	0	2	2	2	3	0	4	2	3	3	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	1	1	0	0	1	5	1	0	7	0	0	1	1	1	5	2	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	55	0
"Biocides|Multi-biocide_resistance|Multi-biocide_ABC_efflux_pump|SMRA"	1	3	7	5	4	6	0	5	1	2	0	3	1	4	0	1	4	2	1	3	1	1	12	0	1	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	15	3	2	0	0	0	1	2	3	2	0	5	4	1	1	2	4	0	0	3	0	0	10	0	0	0	0	0	0	0	1	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	50	0
"Biocides|Multi-biocide_resistance|Multi-biocide_ABC_efflux_pump|VCAM"	0	13	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Biocides|Multi-biocide_resistance|Multi-biocide_MATE_efflux_pump|EMMDR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Biocides|Multi-biocide_resistance|Multi-biocide_MFS_efflux_pump|LDE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	434	0
"Biocides|Multi-biocide_resistance|Multi-biocide_MFS_efflux_pump|SMFY"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Biocides|Multi-biocide_resistance|Multi-biocide_MFS_efflux_pump|SMVA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365	0
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_protein|MDEA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_protein|YJCG"	2834	1	1425	1007	0	0	0	0	2	6	0	0	0	0	0	0	0	1	1	0	0	1	2	0	1	1	0	0	0	0	0	0	0	2	0	0	0	11	0	0	0	0	0	0	23	3	9	0	0	34	25	7	26	3	10	1	6	7	8	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	17	2	619	0
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|ARIR"	560	0	146	155	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	5	5	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	115	0
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|BLTR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|OXYRKP"	1	0	0	0	0	0	0	0	0	6	0	0	0	2	0	5	0	2	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|PCM"	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|RPOS"	4022	0	1464	1212	0	0	0	0	4	2	0	2	0	0	0	0	0	1	3	1	2	1	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	19	2	0	0	0	2	0	22	2	12	0	0	69	35	0	40	6	2	0	4	22	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	4	1251	0
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|SOXRB"	2100	0	1054	704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	0	10	0	0	30	16	2	8	2	2	0	2	4	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	390	0
"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|YDEO"	1104	0	407	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5	0	0	11	8	1	8	2	4	0	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	250	0
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|ABUO"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|EMHA"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|EMHB"	1	1	2	2	13	9	6	4	1	4	2	6	3	1	1	0	3	2	2	0	2	1	39	0	0	1	0	0	0	0	0	0	0	15	2	0	0	0	0	0	0	0	0	2	2	1	0	1	1	0	0	0	0	0	1	5	2	0	0	1	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	226	1
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|HASF"	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|KEXD"	0	0	1	0	0	0	0	0	1	2	0	0	1	0	0	4	0	2	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|MEXV"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|MEXW"	12	0	0	0	6	3	3	2	10	11	8	1	6	26	4	14	4	2	1	3	5	5	28	6	10	8	0	0	0	0	0	0	0	6	0	0	1	0	0	2	0	0	0	2	2	0	2	0	0	0	0	3	1	0	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	744	0
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|OPRJ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	706	0
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|OPRM"	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	597	0
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|SRPB"	0	0	0	0	0	0	0	0	1	5	1	0	0	5	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TBTA"	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TBTB"	361	0	241	128	5	10	3	11	5	9	5	4	3	7	2	9	8	4	6	8	10	2	7	2	3	8	0	0	0	0	0	0	0	19	0	0	0	8	0	0	0	0	0	2	0	0	3	0	0	4	3	2	5	1	2	0	2	0	2	0	0	0	0	0	0	3	7	0	2	5	0	3	1	0	0	0	2	9	0	0	0	0	0	3	0	0	0	0	16	0	0	0	4	0	263	0
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC"	10197	0	4278	3336	0	0	0	0	0	3	0	0	0	0	0	4	0	0	0	4	0	0	8	8	6	0	0	0	0	0	0	0	13	8	0	0	0	15	0	0	0	0	0	0	89	4	33	0	8	147	106	4	47	21	8	0	12	35	25	17	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	4	0	0	0	79	8	1848	0
