"pattern"	"count"	"nhits"	"name"
"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation"	14768	1230334	"G527_95_MockCommunity_S95"
"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PAREF|RequiresSNPConfirmation"	1556	1230334	"G527_95_MockCommunity_S95"
"Drugs|Fosfomycin|Fosfomycin_target_mutation|GLPT|RequiresSNPConfirmation"	1116	1230334	"G527_95_MockCommunity_S95"
"Drugs|Fosfomycin|Fosfomycin_target_mutation|MURA|RequiresSNPConfirmation"	1016	1230334	"G527_95_MockCommunity_S95"
"Drugs|Fosfomycin|Fosfomycin_target_mutation|PTSL|RequiresSNPConfirmation"	908	1230334	"G527_95_MockCommunity_S95"
"Drugs|Fosfomycin|Fosfomycin_target_mutation|UHPT|RequiresSNPConfirmation"	1236	1230334	"G527_95_MockCommunity_S95"
"Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA"	207	1230334	"G527_95_MockCommunity_S95"
"Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB"	229	1230334	"G527_95_MockCommunity_S95"
"Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSX"	308	1230334	"G527_95_MockCommunity_S95"
"Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSA|RequiresSNPConfirmation"	938	1230334	"G527_95_MockCommunity_S95"
"Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSE|RequiresSNPConfirmation"	394	1230334	"G527_95_MockCommunity_S95"
"Drugs|Glycopeptides|VanA-type_resistance_protein|VAN|RequiresSNPConfirmation"	52	1230334	"G527_95_MockCommunity_S95"
"Drugs|Glycopeptides|Vancomycin-resistant_mutation|RPOC|RequiresSNPConfirmation"	95	1230334	"G527_95_MockCommunity_S95"
"Drugs|Glycopeptides|VanG-type_regulator|VANRG"	78	1230334	"G527_95_MockCommunity_S95"
"Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR"	42	1230334	"G527_95_MockCommunity_S95"
"Drugs|Lipopeptides|Colistin-resistant_mutant|PHOP|RequiresSNPConfirmation"	191	1230334	"G527_95_MockCommunity_S95"
"Drugs|Lipopeptides|Colistin-resistant_mutant|PHOQ|RequiresSNPConfirmation"	351	1230334	"G527_95_MockCommunity_S95"
"Drugs|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOBL|RequiresSNPConfirmation"	3750	1230334	"G527_95_MockCommunity_S95"
"Drugs|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC|RPOCL|RequiresSNPConfirmation"	1874	1230334	"G527_95_MockCommunity_S95"
"Drugs|Lipopeptides|Daptomycin-resistant_mutant|CLS|RequiresSNPConfirmation"	1179	1230334	"G527_95_MockCommunity_S95"
"Drugs|Lipopeptides|Daptomycin-resistant_mutant|GSHF|RequiresSNPConfirmation"	1021	1230334	"G527_95_MockCommunity_S95"
"Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation"	1141	1230334	"G527_95_MockCommunity_S95"
"Drugs|Lipopeptides|Daptomycin-resistant_mutant|MPRFD|RequiresSNPConfirmation"	888	1230334	"G527_95_MockCommunity_S95"
"Drugs|Lipopeptides|Daptomycin-resistant_mutant|PGSA|RequiresSNPConfirmation"	486	1230334	"G527_95_MockCommunity_S95"
"Drugs|Lipopeptides|Daptomycin-resistant_mutant|WALK|RequiresSNPConfirmation"	800	1230334	"G527_95_MockCommunity_S95"
"Drugs|Lipopeptides|Daptomycin-resistant_mutant|YYBT|RequiresSNPConfirmation"	863	1230334	"G527_95_MockCommunity_S95"
"Drugs|Lipopeptides|Defensin-resistant_mutant|YKKCL|RequiresSNPConfirmation"	648	1230334	"G527_95_MockCommunity_S95"
"Drugs|Lipopeptides|Lysocin-resistant_mutant|MENA|RequiresSNPConfirmation"	389	1230334	"G527_95_MockCommunity_S95"
"Drugs|MLS|23S_rRNA_methyltransferases|RLMH"	237	1230334	"G527_95_MockCommunity_S95"
"Drugs|MLS|Lincosamide_nucleotidyltransferases|LIN"	487	1230334	"G527_95_MockCommunity_S95"
"Drugs|MLS|Macrolide_phosphotransferases|MPHB"	159	1230334	"G527_95_MockCommunity_S95"
"Drugs|MLS|Macrolide_phosphotransferases|MPHK"	233	1230334	"G527_95_MockCommunity_S95"
"Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation"	230246	1230334	"G527_95_MockCommunity_S95"
"Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA"	2525	1230334	"G527_95_MockCommunity_S95"
"Drugs|MLS|MLS_resistance_ABC_efflux_pumps|OLEB"	42	1230334	"G527_95_MockCommunity_S95"
"Drugs|MLS|MLS_resistance_ABC_efflux_pumps|TLRC"	1	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|MDR_23S_rRNA_mutation|MDR23S|RequiresSNPConfirmation"	5117	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|MDR_mutant_porin_proteins|OMPF|RequiresSNPConfirmation"	462	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|MDR_regulator|ARLR"	1292	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|MDR_regulator|ARLS"	1144	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|MDR_regulator|MGRA"	217	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|CARA"	1	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LMRB"	468	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|MSBA"	481	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VMLR"	377	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|Multi-drug_MATE_efflux_pump|MEPB"	236	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|Multi-drug_MFS_efflux_pumps|NORBD"	579	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|HNS"	209	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MUXA"	301	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MUXB"	757	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MUXC"	839	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|NALC|RequiresSNPConfirmation"	171	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|NFXB|RequiresSNPConfirmation"	148	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|OPMB"	355	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|OPMD"	422	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|OPMH"	346	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|OPRA"	1	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|SDIA"	224	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|ASMA"	591	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|NALD|RequiresSNPConfirmation"	198	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|RAMR|RequiresSNPConfirmation"	184	1230334	"G527_95_MockCommunity_S95"
"Drugs|Multi-drug_resistance|Multi-drug_SMR_efflux_regulator|EMRE"	108	1230334	"G527_95_MockCommunity_S95"
"Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|ILES|RequiresSNPConfirmation"	1034	1230334	"G527_95_MockCommunity_S95"
"Drugs|Nucleosides|Tunicamycin_resistance_protein|TMRB"	117	1230334	"G527_95_MockCommunity_S95"
"Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation"	30491	1230334	"G527_95_MockCommunity_S95"
"Drugs|Pactamycin|Pactamycin-resistant_16S_ribosomal_subunit_protein|P16S|RequiresSNPConfirmation"	124	1230334	"G527_95_MockCommunity_S95"
"Drugs|Phenicol|Chloramphenicol_acetyltransferases|CAT"	187	1230334	"G527_95_MockCommunity_S95"
"Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|DHAP"	520	1230334	"G527_95_MockCommunity_S95"
"Drugs|Phenicol|Phenicol-resistant_23S_rRNA_mutation|PH23S|RequiresSNPConfirmation"	317	1230334	"G527_95_MockCommunity_S95"
"Drugs|Pleuromutilin|Pleuromutilin-resistant_23S_rRNA_mutation|P23S|RequiresSNPConfirmation"	5757	1230334	"G527_95_MockCommunity_S95"
"Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation"	41997	1230334	"G527_95_MockCommunity_S95"
"Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation"	5614	1230334	"G527_95_MockCommunity_S95"
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET38"	3500	1230334	"G527_95_MockCommunity_S95"
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET45"	2563	1230334	"G527_95_MockCommunity_S95"
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETK"	4	1230334	"G527_95_MockCommunity_S95"
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL"	155810	1230334	"G527_95_MockCommunity_S95"
"Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_regulator|TETRM|RequiresSNPConfirmation"	219	1230334	"G527_95_MockCommunity_S95"
"Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation"	23727	1230334	"G527_95_MockCommunity_S95"
"Drugs|Trimethoprim|Dihydrofolate_reductase|DFRE"	182	1230334	"G527_95_MockCommunity_S95"
"Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSB"	1	1230334	"G527_95_MockCommunity_S95"
"Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC"	541	1230334	"G527_95_MockCommunity_S95"
"Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTA"	287	1230334	"G527_95_MockCommunity_S95"
"Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTB"	464	1230334	"G527_95_MockCommunity_S95"
"Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTC"	346	1230334	"G527_95_MockCommunity_S95"
"Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTS"	870	1230334	"G527_95_MockCommunity_S95"
"Metals|Chromium_resistance|Chromium_resistance_protein|NFSA"	246	1230334	"G527_95_MockCommunity_S95"
"Metals|Copper_resistance|Copper_resistance_protein|CINA"	193	1230334	"G527_95_MockCommunity_S95"
"Metals|Copper_resistance|Copper_resistance_protein|COPA"	2658	1230334	"G527_95_MockCommunity_S95"
"Metals|Copper_resistance|Copper_resistance_protein|CUEO"	494	1230334	"G527_95_MockCommunity_S95"
"Metals|Copper_resistance|Copper_resistance_protein|CUEP"	186	1230334	"G527_95_MockCommunity_S95"
