"count"	"nhits"	"name"	"class"	"type"	"protein"	"gene"	"farm"	"animal"	"sample"	"site"
9	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Oxazolidinone"	"Oxazolidinone-resistant_23S_rRNA_mutation"	"O23S"	"2"	"29"	"90"	"SNP"
68	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Phenicol"	"Phenicol-resistant_23S_rRNA_mutation"	"PH23S"	"2"	"29"	"90"	"SNP"
1	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Rifampin"	"Rifampin_ADP-ribosyltransferase_Arr"	"ARR"	"2"	"29"	"90"	"SNP"
12	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Rifampin"	"Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB"	"RPOB"	"2"	"29"	"90"	"SNP"
2	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Sulfonamides"	"Sulfonamide-resistant_dihydropteroate_synthases"	"FOLP"	"2"	"29"	"90"	"SNP"
35	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Sulfonamides"	"Sulfonamide-resistant_dihydropteroate_synthases"	"SULI"	"2"	"29"	"90"	"SNP"
3	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Sulfonamides"	"Sulfonamide-resistant_dihydropteroate_synthases"	"SULII"	"2"	"29"	"90"	"SNP"
5	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Tetracyclines"	"Tetracycline_inactivation_enzymes"	"TETX"	"2"	"29"	"90"	"SNP"
3	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_MFS_efflux_pumps"	"TETK"	"2"	"29"	"90"	"SNP"
1	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TET32"	"2"	"29"	"90"	"SNP"
4	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TET40"	"2"	"29"	"90"	"SNP"
2	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TET44"	"2"	"29"	"90"	"SNP"
1	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Tetracyclines"	"Tetracycline_resistance_ribosomal_protection_proteins"	"TETW"	"2"	"29"	"90"	"SNP"
15	505	"G527_90_P2A29_SNP_S90"	"Drugs"	"Tetracyclines"	"Tetracycline-resistant_16S_ribosomal_subunit_protein"	"TET16S"	"2"	"29"	"90"	"SNP"
2	505	"G527_90_P2A29_SNP_S90"	"Metals"	"Iron_resistance"	"Iron_resistance_protein"	"ACN"	"2"	"29"	"90"	"SNP"
26	505	"G527_90_P2A29_SNP_S90"	"Multi-compound"	"Drug_and_biocide_resistance"	"Drug_and_biocide_RND_efflux_pumps"	"OQXB"	"2"	"29"	"90"	"SNP"
6	1426809	"G527_9_P1A25_feces_S9"	"Biocides"	"Acetate_resistance"	"Acetate_resistance_protein"	"LPDT"	"1"	"25"	"9"	"feces"
12	1426809	"G527_9_P1A25_feces_S9"	"Biocides"	"Acid_resistance"	"Acid_resistance_protein"	"GADA"	"1"	"25"	"9"	"feces"
10	1426809	"G527_9_P1A25_feces_S9"	"Biocides"	"Acid_resistance"	"Acid_resistance_protein"	"GADB"	"1"	"25"	"9"	"feces"
2	1426809	"G527_9_P1A25_feces_S9"	"Biocides"	"Acid_resistance"	"Acid_resistance_protein"	"HDEB"	"1"	"25"	"9"	"feces"
1	1426809	"G527_9_P1A25_feces_S9"	"Biocides"	"Acid_resistance"	"Acid_resistance_protein"	"YDEP"	"1"	"25"	"9"	"feces"
3	1426809	"G527_9_P1A25_feces_S9"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_ABC_efflux_pump"	"SMDB"	"1"	"25"	"9"	"feces"
2	1426809	"G527_9_P1A25_feces_S9"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_resistance_protein"	"YJCG"	"1"	"25"	"9"	"feces"
6	1426809	"G527_9_P1A25_feces_S9"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	"EMHB"	"1"	"25"	"9"	"feces"
2	1426809	"G527_9_P1A25_feces_S9"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	"MEXW"	"1"	"25"	"9"	"feces"
16	1426809	"G527_9_P1A25_feces_S9"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	"TBTB"	"1"	"25"	"9"	"feces"
4	1426809	"G527_9_P1A25_feces_S9"	"Biocides"	"Multi-biocide_resistance"	"Multi-biocide_RND_efflux_pump"	"TOLC"	"1"	"25"	"9"	"feces"
3	1426809	"G527_9_P1A25_feces_S9"	"Biocides"	"Peroxide_resistance"	"peroxide_resistance_protein"	"SODA"	"1"	"25"	"9"	"feces"
3	1426809	"G527_9_P1A25_feces_S9"	"Biocides"	"Peroxide_resistance"	"peroxide_resistance_protein"	"SODB"	"1"	"25"	"9"	"feces"
2	1426809	"G527_9_P1A25_feces_S9"	"Biocides"	"Peroxide_resistance"	"Peroxide_resistance_stress_protein"	"IBPA"	"1"	"25"	"9"	"feces"
1	1426809	"G527_9_P1A25_feces_S9"	"Biocides"	"Phenolic_compound_resistance"	"Triclosan-resistant_mutation"	"FABG"	"1"	"25"	"9"	"feces"
3	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Aminocoumarins"	"Aminocoumarin_efflux_pump"	"NOVA"	"1"	"25"	"9"	"feces"
64	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Aminocoumarins"	"Aminocoumarin-resistant_DNA_topoisomerases"	"GYRBA"	"1"	"25"	"9"	"feces"
667	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Aminocoumarins"	"Aminocoumarin-resistant_DNA_topoisomerases"	"PARE"	"1"	"25"	"9"	"feces"
87	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Aminocoumarins"	"Aminocoumarin-resistant_DNA_topoisomerases"	"PARY"	"1"	"25"	"9"	"feces"
4	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Aminoglycosides"	"16S_rRNA_methyltransferases"	"RMTF"	"1"	"25"	"9"	"feces"
90	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_N-acetyltransferases"	"AAC6-PRIME"	"1"	"25"	"9"	"feces"
120	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT6"	"1"	"25"	"9"	"feces"
375	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-nucleotidyltransferases"	"ANT9"	"1"	"25"	"9"	"feces"
31	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-phosphotransferases"	"APH2-DPRIME"	"1"	"25"	"9"	"feces"
3	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-phosphotransferases"	"APH3-DPRIME"	"1"	"25"	"9"	"feces"
14	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Aminoglycosides"	"Aminoglycoside_O-phosphotransferases"	"APH6"	"1"	"25"	"9"	"feces"
391619	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Aminoglycosides"	"Aminoglycoside-resistant_16S_ribosomal_subunit_protein"	"A16S"	"1"	"25"	"9"	"feces"
3	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Aminoglycosides"	"Aminoglycoside-resistant_16S_ribosomal_subunit_protein"	"RPSL"	"1"	"25"	"9"	"feces"
45910	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Aminoglycosides"	"Aminoglycoside-resistant_16S_ribosomal_subunit_protein"	"RRSA"	"1"	"25"	"9"	"feces"
37728	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Aminoglycosides"	"Aminoglycoside-resistant_16S_ribosomal_subunit_protein"	"RRSC"	"1"	"25"	"9"	"feces"
37738	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Aminoglycosides"	"Aminoglycoside-resistant_16S_ribosomal_subunit_protein"	"RRSH"	"1"	"25"	"9"	"feces"
4	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Bacitracin"	"Undecaprenyl_pyrophosphate_phosphatase"	"BACA"	"1"	"25"	"9"	"feces"
9	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"ACI"	"1"	"25"	"9"	"feces"
2	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"BLAPAM"	"1"	"25"	"9"	"feces"
658	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"BLAZ"	"1"	"25"	"9"	"feces"
47598	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"betalactams"	"Class_A_betalactamases"	"CFX"	"1"	"25"	"9"	"feces"
17	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"betalactams"	"Class_B_betalactamases"	"CFIA"	"1"	"25"	"9"	"feces"
1	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"ACT"	"1"	"25"	"9"	"feces"
1	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"AMPC"	"1"	"25"	"9"	"feces"
1	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"AZECL"	"1"	"25"	"9"	"feces"
10	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"BLAEC"	"1"	"25"	"9"	"feces"
25	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"MIR"	"1"	"25"	"9"	"feces"
9	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"betalactams"	"Class_C_betalactamases"	"OCH"	"1"	"25"	"9"	"feces"
21	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"betalactams"	"Class_D_betalactamases"	"OXA"	"1"	"25"	"9"	"feces"
2	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"betalactams"	"Mutant_porin_proteins"	"OMPFB"	"1"	"25"	"9"	"feces"
1	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"betalactams"	"Mutant_porin_proteins"	"OMPR"	"1"	"25"	"9"	"feces"
1	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"betalactams"	"Penicillin_binding_protein_regulator"	"BLAI"	"1"	"25"	"9"	"feces"
46	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"betalactams"	"Penicillin_binding_protein_regulator"	"BLAR"	"1"	"25"	"9"	"feces"
1	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"betalactams"	"Penicillin_binding_protein"	"AMPH"	"1"	"25"	"9"	"feces"
3	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"betalactams"	"Penicillin_binding_protein"	"PBP2"	"1"	"25"	"9"	"feces"
3	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"betalactams"	"Penicillin_binding_protein"	"PBP4B"	"1"	"25"	"9"	"feces"
37728	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Cationic_antimicrobial_peptides"	"Cationic_peptide-resistant_16S_ribosomal_subunit_protein"	"CAP16S"	"1"	"25"	"9"	"feces"
1	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Cationic_antimicrobial_peptides"	"Lipid_A_modification"	"PMRF"	"1"	"25"	"9"	"feces"
1	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Cationic_antimicrobial_peptides"	"Lipid_A_modification"	"UGD"	"1"	"25"	"9"	"feces"
1	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Cationic_antimicrobial_peptides"	"Polymyxin_B_resistance_regulator"	"ARNA"	"1"	"25"	"9"	"feces"
1	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Cationic_antimicrobial_peptides"	"Polymyxin_B_resistance_regulator"	"BASRS"	"1"	"25"	"9"	"feces"
10268	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Elfamycins"	"EF-Tu_inhibition"	"TUFAB"	"1"	"25"	"9"	"feces"
1332	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Fluoroquinolones"	"Fluoroquinolone-resistant_DNA_topoisomerases"	"GYRA"	"1"	"25"	"9"	"feces"
392	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Fluoroquinolones"	"Fluoroquinolone-resistant_DNA_topoisomerases"	"GYRB"	"1"	"25"	"9"	"feces"
1	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Fluoroquinolones"	"Fluoroquinolone-resistant_DNA_topoisomerases"	"GYRC"	"1"	"25"	"9"	"feces"
133	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Fluoroquinolones"	"Fluoroquinolone-resistant_DNA_topoisomerases"	"PARC"	"1"	"25"	"9"	"feces"
28	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Fluoroquinolones"	"Fluoroquinolone-resistant_DNA_topoisomerases"	"PAREF"	"1"	"25"	"9"	"feces"
1	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Fosfomycin"	"Fosfomycin_target_mutation"	"MURA"	"1"	"25"	"9"	"feces"
4	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Fosfomycin"	"Fosfomycin_target_mutation"	"PTSL"	"1"	"25"	"9"	"feces"
1	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Fosfomycin"	"Fosfomycin_target_mutation"	"UHPT"	"1"	"25"	"9"	"feces"
400	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Fusidic_acid"	"Fusidic_acid-resistant_mutation"	"FUSA"	"1"	"25"	"9"	"feces"
4	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Fusidic_acid"	"Fusidic_acid-resistant_mutation"	"FUSE"	"1"	"25"	"9"	"feces"
8	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Glycopeptides"	"VanA-type_resistance_protein"	"VANXA"	"1"	"25"	"9"	"feces"
25	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Glycopeptides"	"VanC-type_regulator"	"VANRC"	"1"	"25"	"9"	"feces"
2	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Glycopeptides"	"VanC-type_resistance_protein"	"VANXYC"	"1"	"25"	"9"	"feces"
252	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Glycopeptides"	"Vancomycin-resistant_mutation"	"RPOC"	"1"	"25"	"9"	"feces"
4	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Glycopeptides"	"VanD-type_regulator"	"VANRD"	"1"	"25"	"9"	"feces"
5	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Glycopeptides"	"VanD-type_regulator"	"VANSD"	"1"	"25"	"9"	"feces"
1	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Glycopeptides"	"VanF-type_accessory_protein"	"VANYF"	"1"	"25"	"9"	"feces"
1	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Glycopeptides"	"VanG-type_regulator"	"VANRG"	"1"	"25"	"9"	"feces"
5	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Glycopeptides"	"VanG-type_resistance_protein"	"VANG"	"1"	"25"	"9"	"feces"
4	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Glycopeptides"	"VanI-type_resistance_protein"	"VANI"	"1"	"25"	"9"	"feces"
2	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Glycopeptides"	"VanM-type_regulator"	"VANSM"	"1"	"25"	"9"	"feces"
1	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Glycopeptides"	"VanM-type_resistance_protein"	"VANXM"	"1"	"25"	"9"	"feces"
1	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Lipopeptides"	"Colistin-resistant_mutant"	"PHOQ"	"1"	"25"	"9"	"feces"
224	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Lipopeptides"	"Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoB"	"RPOBL"	"1"	"25"	"9"	"feces"
436	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Lipopeptides"	"Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC"	"RPOCL"	"1"	"25"	"9"	"feces"
38	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"CFR"	"1"	"25"	"9"	"feces"
19	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"ERM"	"1"	"25"	"9"	"feces"
20	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"ERM32"	"1"	"25"	"9"	"feces"
36	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"ERMB"	"1"	"25"	"9"	"feces"
503	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"ERMF"	"1"	"25"	"9"	"feces"
100	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"ERMG"	"1"	"25"	"9"	"feces"
2	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"ERMQ"	"1"	"25"	"9"	"feces"
5	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"ERMR"	"1"	"25"	"9"	"feces"
17	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"ERMT"	"1"	"25"	"9"	"feces"
1	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"23S_rRNA_methyltransferases"	"LLMA"	"1"	"25"	"9"	"feces"
222	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"Lincosamide_nucleotidyltransferases"	"LNUA"	"1"	"25"	"9"	"feces"
2010	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"Lincosamide_nucleotidyltransferases"	"LNUC"	"1"	"25"	"9"	"feces"
4	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"Lincosamide_nucleotidyltransferases"	"LNUP"	"1"	"25"	"9"	"feces"
15	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"Macrolide_phosphotransferases"	"MPHB"	"1"	"25"	"9"	"feces"
28	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"Macrolide_phosphotransferases"	"MPHN"	"1"	"25"	"9"	"feces"
534181	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"Macrolide-resistant_23S_rRNA_mutation"	"MLS23S"	"1"	"25"	"9"	"feces"
2	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"MLS_resistance_ABC_efflux_pumps"	"LSA"	"1"	"25"	"9"	"feces"
31	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"MLS_resistance_ABC_efflux_pumps"	"MSRD"	"1"	"25"	"9"	"feces"
2	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"MLS_resistance_ABC_efflux_pumps"	"OLEB"	"1"	"25"	"9"	"feces"
16	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"MLS_resistance_ABC_efflux_pumps"	"OLEC"	"1"	"25"	"9"	"feces"
25	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"MLS_resistance_ABC_efflux_pumps"	"TLRC"	"1"	"25"	"9"	"feces"
24003	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"MLS_resistance_MFS_efflux_pumps"	"MEFA"	"1"	"25"	"9"	"feces"
397	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"MLS_resistance_MFS_efflux_pumps"	"MEFE"	"1"	"25"	"9"	"feces"
7	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"MLS"	"Streptogramin_A_O-acetyltransferase"	"VATB"	"1"	"25"	"9"	"feces"
17368	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Multi-drug_resistance"	"MDR_23S_rRNA_mutation"	"MDR23S"	"1"	"25"	"9"	"feces"
1	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Multi-drug_resistance"	"MDR_mutant_porin_proteins"	"OMPF"	"1"	"25"	"9"	"feces"
11	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Multi-drug_resistance"	"Multi-drug_ABC_efflux_pumps"	"CARA"	"1"	"25"	"9"	"feces"
15	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Multi-drug_resistance"	"Multi-drug_ABC_efflux_pumps"	"LSAC"	"1"	"25"	"9"	"feces"
5	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Multi-drug_resistance"	"Multi-drug_ABC_efflux_pumps"	"MACB"	"1"	"25"	"9"	"feces"
6	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Multi-drug_resistance"	"Multi-drug_ABC_efflux_pumps"	"MSBA"	"1"	"25"	"9"	"feces"
1	1426809	"G527_9_P1A25_feces_S9"	"Drugs"	"Multi-drug_resistance"	"Multi-drug_ABC_efflux_pumps"	"POXT"	"1"	"25"	"9"	"feces"
