"pattern"	"count"	"nhits"	"sample"
"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEQ"	46	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|EBRA"	133	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|EBRB"	138	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Multi-biocide_resistance|Multi-biocide_SMR_efflux_pump|SUGE"	653	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Paraquat_resistance|Paraquat_efflux_pump|YDDG"	219	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Paraquat_resistance|Paraquat_resistance_protein|NMPC"	1115	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA"	989	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Peroxide_resistance|peroxide_resistance_protein|SODB"	568	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Peroxide_resistance|peroxide_resistance_protein|YDEI"	149	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Peroxide_resistance|peroxide_resistance_regulator|PERR"	243	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPA"	128	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPB"	331	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABI"	321	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABL"	247	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Phenolic_compound_resistance|Phenolic_RND_efflux_pump|TRIA"	299	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Phenolic_compound_resistance|Phenolic_RND_efflux_pump|TRIB"	242	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Phenolic_compound_resistance|Phenolic_RND_efflux_pump|TRIC"	765	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Phenolic_compound_resistance|Triclosan-resistant_mutation|FABG|RequiresSNPConfirmation"	348	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Polyamine_resistance|Spermine/spermidine_acetyltransferase|BLTD"	147	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Biocides|Quaternary_Ammonium_Compounds_(QACs)_resistance|QAC_efflux_pump|EMEA"	442	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation"	2034	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation"	9848	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Aminoglycosides|Aminoglycoside_efflux_pumps|KDPE"	375	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3"	230	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME"	283	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME"	75131	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME"	236	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME"	565	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation"	158237	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation"	17212	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation"	14437	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation"	14438	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA"	852	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|betalactams|Class_A_betalactamases|BLAZ"	39484	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|betalactams|Class_A_betalactamases|CTX"	1	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|betalactams|Class_A_betalactamases|TEM"	3097	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|betalactams|Class_C_betalactamases|ACT"	277	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|betalactams|Class_C_betalactamases|AMPC"	388	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|betalactams|Class_C_betalactamases|AZECL"	56	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|betalactams|Class_C_betalactamases|BLAEC"	3140	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|betalactams|Class_C_betalactamases|CMY"	176	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|betalactams|Class_C_betalactamases|MIR"	1400	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|betalactams|Class_C_betalactamases|PDC"	98621	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|betalactams|Class_D_betalactamases|OXA"	2629	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|betalactams|Mutant_porin_proteins|OMP36|RequiresSNPConfirmation"	2593	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|betalactams|Mutant_porin_proteins|OMP37"	63	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|betalactams|Mutant_porin_proteins|OMPFB|RequiresSNPConfirmation"	479	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|betalactams|Mutant_porin_proteins|OPRD|RequiresSNPConfirmation"	221	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|betalactams|Penicillin_binding_protein_regulator|BLAI"	192	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|betalactams|Penicillin_binding_protein_regulator|BLAR"	2663	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|betalactams|Penicillin_binding_protein|AMPH"	346	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|betalactams|Penicillin_binding_protein|PBP2"	579	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|betalactams|Penicillin_binding_protein|PBP4B"	388	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation"	14438	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Cationic_antimicrobial_peptides|Defensin-resistant_mprF|MPRF"	821	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|EPTA"	476	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|PMRF"	321	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|UGD"	309	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|ARNA"	527	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|BASRS"	373	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|BASRS|RequiresSNPConfirmation"	217	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation"	15139	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Fluoroquinolones|Fluoroquinolone_resistance_phosphotransferase|CRPP"	60	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation"	25125	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation"	1372	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation"	14768	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PAREF|RequiresSNPConfirmation"	1556	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Fosfomycin|Fosfomycin_target_mutation|GLPT|RequiresSNPConfirmation"	1116	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Fosfomycin|Fosfomycin_target_mutation|MURA|RequiresSNPConfirmation"	1016	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Fosfomycin|Fosfomycin_target_mutation|PTSL|RequiresSNPConfirmation"	908	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Fosfomycin|Fosfomycin_target_mutation|UHPT|RequiresSNPConfirmation"	1236	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA"	207	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB"	229	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSX"	308	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSA|RequiresSNPConfirmation"	938	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Fusidic_acid|Fusidic_acid-resistant_mutation|FUSE|RequiresSNPConfirmation"	394	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Glycopeptides|VanA-type_resistance_protein|VAN|RequiresSNPConfirmation"	52	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Glycopeptides|Vancomycin-resistant_mutation|RPOC|RequiresSNPConfirmation"	95	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Glycopeptides|VanG-type_regulator|VANRG"	78	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR"	42	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Lipopeptides|Colistin-resistant_mutant|PHOP|RequiresSNPConfirmation"	191	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Lipopeptides|Colistin-resistant_mutant|PHOQ|RequiresSNPConfirmation"	351	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOBL|RequiresSNPConfirmation"	3750	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC|RPOCL|RequiresSNPConfirmation"	1874	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Lipopeptides|Daptomycin-resistant_mutant|CLS|RequiresSNPConfirmation"	1179	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Lipopeptides|Daptomycin-resistant_mutant|GSHF|RequiresSNPConfirmation"	1021	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation"	1141	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Lipopeptides|Daptomycin-resistant_mutant|MPRFD|RequiresSNPConfirmation"	888	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Lipopeptides|Daptomycin-resistant_mutant|PGSA|RequiresSNPConfirmation"	486	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Lipopeptides|Daptomycin-resistant_mutant|WALK|RequiresSNPConfirmation"	800	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Lipopeptides|Daptomycin-resistant_mutant|YYBT|RequiresSNPConfirmation"	863	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
"Drugs|Lipopeptides|Defensin-resistant_mutant|YKKCL|RequiresSNPConfirmation"	648	1230334	"/Users/epb5360/git/amr-brazil/data/blast-output/G527_95_MockCommunity_S95.txt"
